# IDLHC        w1w1           w2w1           w3w1           w4w1           w5w1           w10w1           w1w2           w1w5           w1w10
3157248778.42  2946805952.97  3188485297.74  3124395949.44  3136909354.21  3154372516.57  3198659619.42  3091748799.44  3044704678.13  2931998745.70
3046661087.79  3024914143.44  3227132424.32  3158811522.85  3040965997.12  3178314461.24  3121993819.56  2978777684.42  3079041159.80  3061910472.50
3128116596.71  3056463117.48  3106644537.15  3087881735.76  3072183826.38  3142666024.39  3175743063.46  2963872908.15  3005481311.59  3003862433.89
3108103829.32  3092062255.22  3059019734.22  3207478524.55  3232921578.20  3109387066.41  3134881334.10  2944276489.74  3012223065.78  2992361594.33
2980549509.96  2994152849.25  3015577812.46  3208645105.03  3037798140.15  3242413969.47  3170522936.36  3065187470.29  2926774695.36  2931998745.70
# Avg
3084135960.44  3022879663.67  3119371961.18  3157442567.53  3104155779.21  3165430807.61  3160360154.58  3008772670.41  3013644982.13  2984426398.42
# SD
  70690802.20    55970210.33    87986610.68    52578415.64    82267731.00    49683543.11    31336524.14    65465855.20    56693206.95    54639331.26
# Avg. relative deviation from the best known value (3232921578.20)
       0.0460         0.0650         0.0351         0.0233         0.0398         0.0209         0.0224         0.0693         0.0678         0.0769
